Estado,Ano,Faixa_Etaria,Nascimentos,Total_Ano,Percentual,IDHM,IDHM_Renda,IDHM_Educacao,IDHM_Longevidade
Alagoas,2018,40-44 anos,1032,52496,1.9658640658335873,0.679,0.631,0.634,0.782
Alagoas,2018,Outras idades,72,52496,0.13715330691862238,0.679,0.631,0.634,0.782
Alagoas,2019,10-14 anos,606,49803,1.2167941690259623,0.689,0.637,0.651,0.788
Alagoas,2019,15-19 anos,10030,49803,20.139349035198684,0.689,0.637,0.651,0.788
Alagoas,2019,20-24 anos,14205,49803,28.52237816998976,0.689,0.637,0.651,0.788
Alagoas,2019,25-29 anos,10804,49803,21.693472280786295,0.689,0.637,0.651,0.788
Alagoas,2019,30-34 anos,8458,49803,16.982912675943215,0.689,0.637,0.651,0.788
Alagoas,2019,35-39 anos,4563,49803,9.162098668754894,0.689,0.637,0.651,0.788
Alagoas,2019,40-44 anos,1066,49803,2.140433307230488,0.689,0.637,0.651,0.788
Alagoas,2019,Outras idades,71,49803,0.14256169307069855,0.689,0.637,0.651,0.788
Alagoas,2020,10-14 anos,546,48341,1.1294760141494797,0.687,0.636,0.643,0.793
Alagoas,2020,15-19 anos,9309,48341,19.256945450032063,0.687,0.636,0.643,0.793
Alagoas,2020,20-24 anos,13658,48341,28.25344945284541,0.687,0.636,0.643,0.793
Alagoas,2020,25-29 anos,11147,48341,23.059100970190936,0.687,0.636,0.643,0.793
Alagoas,2020,30-34 anos,8146,48341,16.8511201671459,0.687,0.636,0.643,0.793
Alagoas,2020,35-39 anos,4345,48341,8.988229453259137,0.687,0.636,0.643,0.793
Alagoas,2020,40-44 anos,1133,48341,2.343766161229598,0.687,0.636,0.643,0.793
Alagoas,2020,Outras idades,57,48341,0.11791233114747317,0.687,0.636,0.643,0.793
Alagoas,2021,10-14 anos,547,48808,1.120717915095886,0.694,0.645,0.66,0.786
Alagoas,2021,15-19 anos,8997,48808,18.433453532207835,0.694,0.645,0.66,0.786
Alagoas,2021,20-24 anos,13810,48808,28.294541878380592,0.694,0.645,0.66,0.786
Alagoas,2021,25-29 anos,11523,48808,23.608834617275857,0.694,0.645,0.66,0.786
Alagoas,2021,30-34 anos,8095,48808,16.585395836748074,0.694,0.645,0.66,0.786
Alagoas,2021,35-39 anos,4607,48808,9.439026389116538,0.694,0.645,0.66,0.786
Alagoas,2021,40-44 anos,1158,48808,2.372561875102442,0.694,0.645,0.66,0.786
Alagoas,2021,Outras idades,71,48808,0.14546795607277496,0.694,0.645,0.66,0.786
Amapá,2000,10-14 anos,196,14238,1.376597836774828,0.577,0.638,0.424,0.711
Amapá,2000,15-19 anos,3784,14238,26.57676639977525,0.577,0.638,0.424,0.711
Amapá,2000,20-24 anos,4715,14238,33.11560612445568,0.577,0.638,0.424,0.711
Amapá,2000,25-29 anos,3094,14238,21.730580137659782,0.577,0.638,0.424,0.711
Amapá,2000,30-34 anos,1511,14238,10.61244556819778,0.577,0.638,0.424,0.711
Amapá,2000,35-39 anos,702,14238,4.9304677623261695,0.577,0.638,0.424,0.711
Amapá,2000,40-44 anos,173,14238,1.2150582947043125,0.577,0.638,0.424,0.711
Amapá,2000,Idade ignorada,43,14238,0.3020087090883551,0.577,0.638,0.424,0.711
Amapá,2000,Outras idades,20,14238,0.1404691670178396,0.577,0.638,0.424,0.711
Amapá,2010,10-14 anos,235,15008,1.5658315565031982,0.708,0.694,0.629,0.813
Amapá,2010,15-19 anos,3604,15008,24.013859275053303,0.708,0.694,0.629,0.813
Amapá,2010,20-24 anos,4425,15008,29.484275053304902,0.708,0.694,0.629,0.813
Amapá,2010,25-29 anos,3480,15008,23.187633262260128,0.708,0.694,0.629,0.813
Amapá,2010,30-34 anos,2020,15008,13.459488272921108,0.708,0.694,0.629,0.813
Amapá,2010,35-39 anos,965,15008,6.4299040511727075,0.708,0.694,0.629,0.813
Amapá,2010,40-44 anos,251,15008,1.6724413646055438,0.708,0.694,0.629,0.813
Amapá,2010,Outras idades,28,15008,0.18656716417910446,0.708,0.694,0.629,0.813
Amapá,2017,10-14 anos,215,15399,1.3961945580881876,0.733,0.682,0.709,0.815
Amapá,2017,15-19 anos,3372,15399,21.897525813364503,0.733,0.682,0.709,0.815
Amapá,2017,20-24 anos,4130,15399,26.81992337164751,0.733,0.682,0.709,0.815
Amapá,2017,25-29 anos,3391,15399,22.020910448730437,0.733,0.682,0.709,0.815
Amapá,2017,30-34 anos,2524,15399,16.390674719137607,0.733,0.682,0.709,0.815
Amapá,2017,35-39 anos,1354,15399,8.792778751867004,0.733,0.682,0.709,0.815
Amapá,2017,40-44 anos,385,15399,2.500162348204429,0.733,0.682,0.709,0.815
Amapá,2017,Idade ignorada,2,15399,0.012987856354308722,0.733,0.682,0.709,0.815
Amapá,2017,Outras idades,26,15399,0.16884213260601338,0.733,0.682,0.709,0.815
Amapá,2018,10-14 anos,195,15864,1.2291981845688351,0.732,0.683,0.7,0.82
Amapá,2018,15-19 anos,3446,15864,21.722138174483106,0.732,0.683,0.7,0.82
Amapá,2018,20-24 anos,4387,15864,27.653807362581944,0.732,0.683,0.7,0.82
Amapá,2018,25-29 anos,3423,15864,21.57715582450832,0.732,0.683,0.7,0.82
Amapá,2018,30-34 anos,2575,15864,16.23171961674231,0.732,0.683,0.7,0.82
Amapá,2018,35-39 anos,1455,15864,9.171709531013615,0.732,0.683,0.7,0.82
Amapá,2018,40-44 anos,347,15864,2.187342410489158,0.732,0.683,0.7,0.82
Amapá,2018,Idade ignorada,1,15864,0.006303580433686335,0.732,0.683,0.7,0.82
Amapá,2018,Outras idades,35,15864,0.22062531517902167,0.732,0.683,0.7,0.82
Amapá,2019,10-14 anos,173,15356,1.1265954675696794,0.741,0.666,0.742,0.824
Amapá,2019,15-19 anos,3086,15356,20.096379265433704,0.741,0.666,0.742,0.824
Amapá,2019,20-24 anos,4245,15356,27.64391768689763,0.741,0.666,0.742,0.824
Amapá,2019,25-29 anos,3401,15356,22.147694712164625,0.741,0.666,0.742,0.824
Amapá,2019,30-34 anos,2597,15356,16.911956238603803,0.741,0.666,0.742,0.824
Amapá,2019,35-39 anos,1429,15356,9.30580880437614,0.741,0.666,0.742,0.824
Amapá,2019,40-44 anos,404,15356,2.6308934618390207,0.741,0.666,0.742,0.824
Amapá,2019,Idade ignorada,1,15356,0.006512112529304507,0.741,0.666,0.742,0.824
Amapá,2019,Outras idades,20,15356,0.13024225058609012,0.741,0.666,0.742,0.824
Amapá,2020,10-14 anos,188,14633,1.2847673067723637,0.737,0.665,0.728,0.828
Amapá,2020,15-19 anos,2866,14633,19.585867559625502,0.737,0.665,0.728,0.828
Amapá,2020,20-24 anos,4033,14633,27.560992277728424,0.737,0.665,0.728,0.828
Amapá,2020,25-29 anos,3191,14633,21.806874871864963,0.737,0.665,0.728,0.828
Amapá,2020,30-34 anos,2447,14633,16.722476593999865,0.737,0.665,0.728,0.828
Amapá,2020,35-39 anos,1437,14633,9.820269254424929,0.737,0.665,0.728,0.828
Amapá,2020,40-44 anos,442,14633,3.020569944645664,0.737,0.665,0.728,0.828
Amapá,2020,Idade ignorada,7,14633,0.04783708057131142,0.737,0.665,0.728,0.828
Amapá,2020,Outras idades,22,14633,0.15034511036697873,0.737,0.665,0.728,0.828
Amapá,2021,10-14 anos,181,14993,1.2072300406856533,0.724,0.663,0.701,0.815
